model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
q_learning,100,482,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,483,Worthy,133.7068627150456,-133.7068627150456,275.4137254300912,285.8344061740435,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,475,53,32,0.23721844691942143,,0.411802143338763,0.30100336782316395,0.8704369160614465,0.0,0.0,True,True
q_learning,100,483,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,5.8451467938871815,0.634806421911037,False,False
pvl_delta,100,484,Worthy,130.35365590830048,-130.35365590830048,268.70731181660096,279.1279925605533,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,350,55,32,0.06896003585891886,,0.2601900742693095,10.0,0.40837029760173194,0.0,0.07575355962438834,True,False
q_learning,100,484,Worthy,134.92094931447636,-134.92094931447636,273.8418986289527,279.0522390009289,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,12,1,0.28532787027913725,0.4145387812417983,,,,5.134586812351756,0.0,False,True
pvl_delta,100,485,Worthy,138.62943611198907,-138.62943611198907,285.25887222397813,295.6795529679305,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,2,32,1e-06,,1e-06,0.5575767299901708,2.220330371132529e-09,3.9999999999997726,9.210340371975917,False,False
q_learning,100,485,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,486,Worthy,130.27527239405404,-130.27527239405404,268.5505447881081,278.97122553206043,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,615,86,32,0.11875791640113696,,0.6209453134702563,0.3577103473383763,1.1079046506817785,0.0,0.0,True,True
q_learning,100,486,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,12.708327435870274,7.497987063894129,False,False
pvl_delta,100,487,Worthy,137.75866682409435,-137.75866682409435,283.5173336481887,293.93801439214104,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165,5,32,2.1698659255145918e-05,,1.0003613453310616e-06,10.0,5.0,6.522713056059558,11.733053428035703,False,False
q_learning,100,487,Worthy,136.49731029606457,-136.49731029606457,276.99462059212914,282.20496096410534,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,87,24,1,0.023308077573446936,1.934423742655877,,,,0.0,0.0,True,True
pvl_delta,100,488,Worthy,138.62943611198443,-138.62943611198443,285.25887222396887,295.6795529679212,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2,32,1e-06,,1e-06,1e-06,3.6805424267680246e-07,3.999999999990507,9.210340371966652,False,False
q_learning,100,488,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,489,Worthy,73.55687420725727,-73.55687420725727,155.11374841451453,165.5344291584669,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,455,61,32,0.35487379029637445,,0.5871532304846991,1e-06,1.511450721838914,0.0,0.0,True,True
q_learning,100,489,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,126.14512380946383,120.93478343748765,False,False
pvl_delta,100,490,Worthy,138.62943611182618,-138.62943611182618,285.25887222365236,295.6795529676047,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2,32,1e-06,,1e-06,1e-06,1.919770208303434e-06,3.999999999674003,9.210340371650148,False,False
q_learning,100,490,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,491,Worthy,138.62943611198875,-138.62943611198875,285.2588722239775,295.67955296792985,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2,32,1e-06,,1e-06,2.619784934737171,8.834278641333098e-09,3.9999999999991473,9.210340371975292,False,False
q_learning,100,491,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,492,Worthy,138.6294361062485,-138.6294361062485,285.258872212497,295.67955295644936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,2,32,1e-06,,1e-06,1e-06,0.00014026389689705623,3.9999999885186526,9.210340360494797,False,False
q_learning,100,492,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,493,Worthy,138.62943611195598,-138.62943611195598,285.25887222391196,295.6795529678643,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2,32,1e-06,,1e-06,1e-06,7.615813473064188e-07,3.999999999933607,9.210340371909751,False,False
q_learning,100,493,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,494,Worthy,138.6294361119482,-138.6294361119482,285.2588722238964,295.67955296784874,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2,32,1e-06,,1e-06,1e-06,8.74058480981996e-07,3.999999999918032,9.210340371894176,False,False
q_learning,100,494,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,495,Worthy,56.10245816627956,-56.10245816627956,120.20491633255912,130.6255970765115,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,370,43,32,0.0019121559009589533,,1e-06,0.4994448810050601,5.0,0.0,0.0,True,True
