n_trials,subject_id,source_study,q_negative_log_likelihood,pvl_negative_log_likelihood,nll_q_minus_pvl,q_aic,pvl_aic,aic_q_minus_pvl,q_bic,pvl_bic,bic_q_minus_pvl,q_nll_improvement_over_uniform,pvl_nll_improvement_over_uniform,uniform_improvement_pvl_minus_q,q_best_aic,pvl_best_aic,q_best_bic,pvl_best_bic
100,66,Horstmann,136.80855907317894,124.0970544269558,12.711504646223148,277.6171181463579,256.1941088539116,21.423009292446295,282.8274585183341,266.61478959786393,16.21266892047015,1.8208770388101243,14.532381685033272,12.711504646223148,False,True,False,True
100,67,Horstmann,137.2808212095129,125.43141956282616,11.849401646686744,278.5616424190258,258.8628391256524,19.69880329337343,283.771982791002,269.2835198696047,14.488462921397343,1.3486149024761571,13.1980165491629,11.849401646686742,False,True,False,True
100,68,Horstmann,135.7636390049525,120.9928836956703,14.770755309282194,275.527278009905,249.9857673913406,25.541510618564388,280.7376183818812,260.406448135293,20.331170246588215,2.8657971070365704,17.636552416318764,14.770755309282194,False,True,False,True
100,69,Horstmann,86.31720972321692,77.99029136350437,8.32691835971255,176.63441944643384,163.98058272700874,12.653836719425101,181.84475981841,174.4012634709611,7.4434963474488995,52.31222638877215,60.639144748484696,8.326918359712543,False,True,False,True
100,70,Horstmann,125.5288864845578,106.87220847715896,18.65667800739884,255.0577729691156,221.7444169543179,33.313356014797705,260.2681133410918,232.16509769827027,28.103015642821532,13.100549627431263,31.75722763483012,18.656678007398856,False,True,False,True
100,71,Horstmann,136.70736608317813,131.5686651637156,5.138700919462536,277.41473216635626,271.1373303274312,6.277401838925073,282.62507253833246,281.55801107138353,1.0670614669489282,1.922070028810936,7.060770948273472,5.138700919462536,False,True,False,True
100,72,Horstmann,101.75624063967147,98.14286619662651,3.613374443044961,207.5124812793429,204.28573239325303,3.226748886089865,212.72282165131912,214.70641313720543,-1.9835914858863077,36.87319547231759,40.48656991536254,3.613374443044947,False,True,True,False
100,73,Horstmann,137.69495818971944,135.89140477355554,1.8035534161639077,279.3899163794389,279.78280954711107,-0.3928931676721845,284.6002567514151,290.2034902910634,-5.603233539648329,0.9344779222696218,2.738031338433529,1.8035534161639073,True,False,True,False
100,74,Horstmann,108.11848002990077,70.79502729269302,37.323452737207745,220.2369600598015,149.59005458538604,70.64690547441546,225.44730043177768,160.01073532933842,65.43656510243926,30.51095608208832,67.83440881929604,37.323452737207724,False,True,False,True
100,75,Horstmann,97.67960074810507,31.44805766274772,66.23154308535736,199.35920149621012,70.89611532549543,128.4630861707147,204.56954186818635,81.3167960694478,123.25274579873854,40.94983536388398,107.18137844924136,66.23154308535739,False,True,False,True
100,76,Horstmann,138.62943611198918,124.18981463659054,14.439621475398638,281.2588722239784,256.3796292731811,24.879242950797334,286.46921259595456,266.8003100171334,19.668902578821132,-1.1368683772161605e-13,14.439621475398525,14.439621475398638,False,True,False,True
100,77,Horstmann,138.48076953540473,108.25589520422166,30.224874331183074,280.96153907080947,224.5117904084433,56.449748662366176,286.17187944278567,234.9324711523957,51.239408290389974,0.1486665765843327,30.373540907767406,30.224874331183074,False,True,False,True
100,78,Horstmann,98.12366799662256,67.87894733588708,30.24472066073548,200.2473359932452,143.75789467177415,56.48944132147105,205.4576763652213,154.17857541572653,51.27910094949476,40.50576811536649,70.75048877610199,30.244720660735496,False,True,False,True
100,79,Horstmann,133.08826313390537,128.16011161168612,4.9281515222192525,270.17652626781074,264.32022322337224,5.856303044438505,275.38686663978694,274.7409039673246,0.6459626724623604,5.541172978083694,10.469324500302946,4.9281515222192525,False,True,False,True
100,80,Horstmann,137.90032394957217,134.37095671610348,3.5293672334686903,279.80064789914434,276.74191343220696,3.0587344669373806,285.01098827112054,287.1625941761593,-2.151605905038764,0.7291121624168966,4.258479395885587,3.5293672334686903,False,True,True,False
100,81,Horstmann,133.4431708660229,104.10166318495637,29.341507681066545,270.8863417320458,216.2033263699128,54.683015362133034,276.096682104022,226.6240071138651,49.47267499015692,5.186265245966155,34.5277729270327,29.341507681066545,False,True,False,True
100,82,Horstmann,133.33212675574524,113.8547410280962,19.477385727649036,270.6642535114905,235.70948205619243,34.954771455298044,275.8745938834667,246.1301628001448,29.74443108332187,5.297309356243829,24.77469508389285,19.477385727649022,False,True,False,True
100,83,Horstmann,135.0999552222113,128.7561215413345,6.3438336808767986,274.1999104444226,265.512243082669,8.687667361753597,279.4102508163988,275.93292382662133,3.4773269897774526,3.5294808897777727,9.873314570654571,6.3438336808767986,False,True,False,True
100,84,Horstmann,125.6910532785926,94.65203085429296,31.039022424299645,255.3821065571852,197.3040617085859,58.07804484859932,260.5924469291614,207.7247424525383,52.86770447662309,12.93838283339646,43.97740525769612,31.03902242429966,False,True,False,True
100,85,Horstmann,133.73857105001977,73.15734361648839,60.58122743353138,271.47714210003954,154.31468723297678,117.16245486706276,276.68748247201574,164.73536797692915,111.95211449508659,4.8908650619692935,65.47209249550068,60.58122743353138,False,True,False,True
100,86,Horstmann,132.5541714433379,116.50019921151724,16.053972231820666,269.1083428866758,241.00039842303448,28.10794446364133,274.318683258652,251.42107916698689,22.89760409166513,6.075264668651158,22.129236900471824,16.053972231820666,False,True,False,True
100,87,Horstmann,32.54437378053888,23.79408204874848,8.750291731790405,69.08874756107777,55.58816409749696,13.50058346358081,74.29908793305395,66.00884484144933,8.290243091604623,106.0850623314502,114.8353540632406,8.750291731790398,False,True,False,True
100,88,Horstmann,134.3209614115597,100.11417331872356,34.206788092836135,272.64192282311933,208.22834663744712,64.41357618567221,277.8522631950956,218.6490273813995,59.2032358136961,4.3084747004294,38.51526279326551,34.206788092836106,False,True,False,True
100,89,Horstmann,131.30779303870696,127.2264688777668,4.081324160940156,266.6155860774139,262.4529377555336,4.16264832188034,271.8259264493901,272.873618499486,-1.0476920500958613,7.321643073282104,11.402967234222274,4.08132416094017,False,True,True,False
100,90,Horstmann,138.62943611198918,110.3596172028383,28.269818909150885,281.2588722239784,228.7192344056766,52.53963781830183,286.46921259595456,239.13991514962896,47.3292974463256,-1.1368683772161605e-13,28.26981890915077,28.269818909150885,False,True,False,True
100,91,Horstmann,39.06782752413788,30.2035833171509,8.864244206986982,82.13565504827577,68.4071666343018,13.728488413973963,87.34599542025195,78.82784737825418,8.518148041997776,99.56160858785118,108.42585279483816,8.864244206986982,False,True,False,True
100,92,Horstmann,137.49726182818463,129.97687620227032,7.520385625914315,278.99452365636927,267.95375240454064,11.04077125182863,284.20486402834547,278.374433148493,5.830430879852486,1.1321742838044315,8.652559909718747,7.520385625914315,False,True,False,True
100,93,Horstmann,136.598061147802,134.43904471461715,2.15901643318486,277.196122295604,276.8780894292343,0.3180328663697196,282.40646266758023,287.29877017318665,-4.892307505606425,2.0313749641870515,4.190391397371911,2.15901643318486,False,True,True,False
100,94,Horstmann,133.17712744228035,131.90927619576686,1.2678512465134872,270.3542548845607,271.81855239153373,-1.4642975069730255,275.5645952565369,282.2392331354861,-6.67463787894917,5.452308669708714,6.720159916222201,1.2678512465134872,True,False,True,False
100,95,Horstmann,135.9054873499933,116.73313292692804,19.172354423065272,275.8109746999866,241.4662658538561,34.344708846130516,281.0213150719628,251.88694659780847,29.134368474154343,2.723948761995757,21.89630318506101,19.172354423065254,False,True,False,True
100,96,Horstmann,131.15480313868414,119.56806602675194,11.586737111932209,266.3096062773683,247.13613205350387,19.173474223864417,271.5199466493445,257.55681279745625,13.963133851888244,7.474632973304921,19.06137008523713,11.586737111932209,False,True,False,True
100,97,Horstmann,131.84530123447468,108.67836712297478,23.1669341114999,267.6906024689493,225.35673424594955,42.33386822299974,272.90094284092555,235.777414989902,37.12352785102354,6.78413487751439,29.95106898901429,23.1669341114999,False,True,False,True
100,98,Horstmann,119.81457621636238,72.7459046755485,47.06867154081388,243.6291524327248,153.491809351097,90.13734308162779,248.8394928047009,163.91249009504938,84.92700270965153,18.81485989562668,65.88353143644056,47.06867154081388,False,True,False,True
100,99,Horstmann,138.62943611198918,134.50019874395068,4.129237368038503,281.2588722239784,277.0003974879013,4.258474736077119,286.46921259595456,287.4210782318537,-0.9518656358991393,-1.1368683772161605e-13,4.129237368038389,4.129237368038503,False,True,True,False
