model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,comparison_eligible,delta_aic,delta_bic,best_aic,best_bic
q_learning,100,8,Horstmann,137.80559270343937,-137.80559270343937,279.61118540687875,284.82152577885495,138.62943611198907,0.823843408549692,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,75,11,10,0.45702288475910635,0.15079742342114322,,,,True,0.0,0.0,True,True
pvl_delta,100,9,Horstmann,109.40651777437034,-109.40651777437034,226.8130355487407,237.23371629269306,138.62943611198907,29.222918337618722,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,520,67,32,0.4018424747575306,,0.0173847607305681,0.20207598828990575,1.1967552965757449,True,0.0,0.0,True,True
q_learning,100,9,Horstmann,130.09829722862426,-130.09829722862426,264.1965944572485,269.4069348292247,138.62943611198907,8.531138883364804,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,6,10,0.7861765722249211,0.33132241954074754,,,,True,37.38355890850784,32.173218536531664,False,False
pvl_delta,100,10,Horstmann,109.98034691709601,-109.98034691709601,227.96069383419203,238.3813745781444,138.62943611198907,28.64908919489305,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,625,66,32,0.8166835193769364,,1.118790021685228,0.016274434343879787,1.0780625555254297,True,0.0,0.0,True,True
q_learning,100,10,Horstmann,131.91990374425046,-131.91990374425046,267.8398074885009,273.0501478604771,138.62943611198907,6.709532367738603,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,7,2,0.9574416225744062,0.2011168693234464,,,,True,39.879113654308895,34.66877328233272,False,False
pvl_delta,100,11,Horstmann,136.00194233829956,-136.00194233829956,280.0038846765991,290.42456542055146,138.62943611198907,2.6274937736895083,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,21,32,0.2287313167857746,,1.0432273085493005,0.20261749922961603,0.6884957327956814,True,0.04840790114343463,5.258748273119579,False,False
q_learning,100,11,Horstmann,137.97773838772784,-137.97773838772784,279.9554767754557,285.1658171474319,138.62943611198907,0.6516977242612256,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,8,10,1.0,0.06147241525562711,,,,True,0.0,0.0,True,True
pvl_delta,100,12,Horstmann,130.95641221623114,-130.95641221623114,269.9128244324623,280.33350517641463,138.62943611198907,7.673023895757922,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,23,32,0.999999,,0.006132371279152717,0.8639342713731446,0.4190813868564205,True,0.0,0.0,True,True
q_learning,100,12,Horstmann,135.58910141636252,-135.58910141636252,275.17820283272505,280.38854320470125,138.62943611198907,3.040334695626541,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57,13,10,1.0,0.1377461991317717,,,,True,5.265378400262762,0.05503802828661719,False,False
pvl_delta,100,13,Horstmann,85.75444557212442,-85.75444557212442,179.50889114424885,189.92957188820122,138.62943611198907,52.87499053986464,False,1,1,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,660,78,32,0.999999,,1e-06,0.8419034388203409,0.8692261134247697,True,0.0,0.0,True,True
q_learning,100,13,Horstmann,116.8941383036942,-116.8941383036942,237.7882766073884,242.99861697936458,138.62943611198907,21.73529780829486,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,3,9,1.0,0.5075019618723012,,,,True,58.27938546313956,53.06904509116336,False,False
pvl_delta,100,14,Horstmann,117.9633067092074,-117.9633067092074,243.9266134184148,254.34729416236718,138.62943611198907,20.666129402781664,False,0,2,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,340,44,32,0.999999,,2.0,0.0039018015918283726,0.9202084987494099,True,0.0,0.0,True,True
q_learning,100,14,Horstmann,128.75004718262744,-128.75004718262744,261.5000943652549,266.7104347372311,138.62943611198907,9.879388929361625,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,7,10,1.0,0.22047284776783807,,,,True,17.57348094684008,12.363140574863905,False,False
pvl_delta,100,15,Horstmann,131.91838355903752,-131.91838355903752,271.83676711807504,282.2574478620274,138.62943611198907,6.711052552951543,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165,25,32,0.2560052662312606,,0.8718496549600939,0.39607944327039896,0.8621683739089173,True,0.0,2.0883503729789368,True,False
q_learning,100,15,Horstmann,135.47937855853613,-135.47937855853613,274.95875711707225,280.16909748904845,138.62943611198907,3.150057553452939,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33,9,10,0.7026243935948896,0.1855842743560627,,,,True,3.1219899989972077,0.0,False,True
pvl_delta,100,16,Horstmann,109.74745750046951,-109.74745750046951,227.49491500093902,237.9155957448914,138.62943611198907,28.881978611519557,False,1,1,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,100,16,32,0.999999,,1e-06,4.2360472047544935,0.33773739324367286,True,0.0,0.0,True,True
q_learning,100,16,Horstmann,127.07148797153663,-127.07148797153663,258.1429759430732,263.3533163150494,138.62943611198907,11.557948140452439,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,48,9,10,1.0,0.3526561245376364,,,,True,30.648060942134208,25.437720570158035,False,False
pvl_delta,100,17,Horstmann,92.64094992635967,-92.64094992635967,193.28189985271933,203.7025805966717,138.62943611198907,45.9884861856294,False,1,1,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,440,62,32,0.39738108255843363,,2.0,1e-06,1.1716331646148013,True,0.0,0.0,True,True
